Headline,Body ID,Stance
British rapper a suspect in ISIS beheading,1634,unrelated
URGENT: ISIS leader Abu Bakr al-Baghdadi allegedly killed by US airstrikes,1634,discuss
Dumped woman spends a week in KFC to get over ex,1634,unrelated
Urgent: The Leader of ISIL 'Abu Bakr al-Baghdadi' Killed! / Photo,1634,discuss
Kim Jong-un: Absent North Korean leader is 'recovering from ankle surgery',1634,unrelated
Kim Jong-un So Fat He Injured His Ankles,1634,unrelated
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1634,discuss
‘Photo of slain IS leader’ reported to be doctored,1634,discuss
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1634,discuss
"Kim Jong-un Broke Both Ankles and Is Hospitalized, Report Claims",1634,unrelated
Kim Jong-Un 'in hospital with two fractured ankles' after ballooning to around 20 stone and going on numerous 'meet the people' walkabout PR stunts,1634,unrelated
ISIS leader dead?,1634,discuss
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",1634,unrelated
Kim Jong-un ‘is so fat from eating cheese that he has broken his ankles’,1634,unrelated
"North Korean leader Kim Jong-un not missing, just having ankle surgery",1634,unrelated
Cheese addiction breaks Kim Jong-un's ankles,1634,unrelated
"Kim Jong Un hospitalized with two broken ankles, reportedly from wearing heels and being overweight",1634,unrelated
"Kim Yo Jong, Kim Jong-Un’s Sister, Takes Control of North Korea While Brother Gets Treatment?",1634,unrelated
"North Korean leader Kim Jong-un’s mystery illness actually two broken ankles, newspaper says",1634,unrelated
Kim Jong-un 'so fat he has fractured his ankles',1634,unrelated
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,1634,unrelated
BREAKING NEWS: Gunman 'shot dead' after wounding soldier near Canada parliament,1634,unrelated
Iraqi social-media rumors claim IS leader slain,1634,discuss
We took a look at the photo said to show the body of Islamic State leader Abu Bakr Al-Baghdadi (right) and found it was really an ethnic Albanian militant killed in 2013,1634,discuss
Report claims Kim Jong-un underwent surgery to repair fractured ankles,1634,unrelated
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,1634,discuss
South Korea: Kim Jong Un had ankle surgery to remove cyst,1634,unrelated
Cheese blamed for North Korean leader Kim Jong-un's broken ankles,1634,unrelated
"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",1634,unrelated
ISIS leader ‘killed’ in US airstrikes,1634,discuss
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,1634,unrelated
"No, A Spider Did Not Burrow Under A Man's Skin And Live There For Days",1634,unrelated
Report of Kim Jong-un’s ankle injury add fuel to rumours about his absence,1634,unrelated
Kim Had Ankle Surgery:  Source,1634,unrelated
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,1634,unrelated
Apple may launch 12-inch MacBook Air with Retina Display,1634,unrelated
Pentagon Denies It Killed ISIS Chief As Airstrikes Hit Top Extremists,1634,discuss
Islamic State Leader al-Baghdadi “Not Dead”,1634,discuss
"Sons of Anarchy Movie? No, Kurt Sutter Announces Charlie Hunnam, Brad Pitt Film Article is Fake",1634,unrelated
Kim Jong-un: obese leader 'fractured both ankles',1634,unrelated
Iraqi airstrike kills key ISIL leader,1634,discuss
"North Korean leader Kim Jong Un had ankle surgery, report says",1634,unrelated
North Korea dictator Kim Jong-un undergoes surgery after breaking both ankles on military tour,1634,unrelated
Indian worker sacked after going on leave for 24 years,1634,unrelated
Kim Jong-un 'Had Surgery on Fractured Ankles',1634,unrelated
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1040,unrelated
U.S. Hostage Luke Somers Killed During Yemen Rescue Bid: Family,1040,unrelated
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,1040,unrelated
Islamic State using 'SCORPION bombs' to terrorise victims,1040,unrelated
Islamic State militants claim to behead missing American journalist,1040,unrelated
"No, Saudi TV Did Not Blur Out Images of Michelle Obama",1040,unrelated
Crazy iPhone rig shows how Chinese workers manipulate App Store rankings,1040,unrelated
6 Islamist militants killed in US attack in Somalia,1040,unrelated
"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012",1040,unrelated
IRAQI AND KURDISH MEDIA REPORTS: ISIS FIGHTERS HAVE CONTRACTED EBOLA,1040,discuss
China App Store Manipulation Photo Goes Viral - But Is It Real?,1040,unrelated
WHO investigates media reports ISIS fighters contracted Ebola,1040,discuss
"Ann Arbor pizza delivery driver surprised with $2,000 tip",1040,unrelated
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1040,unrelated
WHO says reports of suspected Ebola cases in Iraq are untrue,1040,discuss
ISIS Video: America’s Air Dropped Weapons Now in Our Hands,1040,unrelated
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,1040,unrelated
ISIL allegedly kills US journalist in video,1040,unrelated
"Obama, Outraged Over Beheading, Vows to Stay on Course",1040,unrelated
ISIL Beheads American Photojournalist in Iraq,1040,unrelated
The Internet Tried To Make Axl Rose Its Latest Death Hoax Victim,1040,unrelated
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",1040,unrelated
Would-be rapist has penis severed by angry mob,1040,unrelated
ISIS Seemingly Beheaded American Journalist James Wright Foley,1040,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1040,unrelated
Obama: murder of James Foley 'shocks the conscience of the entire world',1040,unrelated
"Rare Case: Seven Bosnian Girls, Aged 13 And 14, Fall Pregnant After Five-Day School Trip; Parents Outraged After School Cites 'Parental Neglect'",1040,unrelated
ISIS Reportedly Beheads American Photojournalist in Iraq,1040,unrelated
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",1040,unrelated
Missing American journalist reportedly beheaded by Islamic State ,1040,unrelated
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1040,unrelated
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",1040,unrelated
'There is no limit to their depravity' Islamic State FEED mother her own SON,1040,unrelated
Video shows ISIL beheading of photojournalist James Foley,1040,unrelated
‘Evil straight from the pits of hell': American journalist James Foley reportedly beheaded by ISIS,1040,unrelated
"Video showing American journalist beheaded believed real, officials and family say",1040,unrelated
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1040,unrelated
Audio recording allegedly captures moment Michael Brown was shot,1040,unrelated
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1040,unrelated
ISIS Getting Ebola,1040,discuss
New iOS 8 bug can delete all of your iCloud documents,1040,unrelated
James Foley remembered as 'brave and tireless' journalist,1040,unrelated
'Feminist' Lana 'Aborts Baby Because It's A Boy' And Is Surprised By Backlash,1040,unrelated
IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,1040,discuss
"Op-Ed: Hoax – Priest who never existed claims he died, saw female God",1040,unrelated
Isis tells mother on rescue mission :’You’ve just eaten your son’,1040,unrelated
ISIL video claims beheading of kidnapped journalist James Foley,1040,unrelated
Ebola Outbreak 2015 Update: ISIS Fighters May Have Contracted Deadly Virus,1040,discuss
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1040,unrelated
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1040,unrelated
HORROR: ISIS Fighters Have Reportedly Contracted Ebola,1040,discuss
Nun Gives Birth To Baby Boy After Suffering Intense Stomach Pains,1040,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",1040,unrelated
Viral Photo Shows How Chinese Workers Are Used to Manipulate App Store Rankings,1040,unrelated
Video: Marine survives Taliban sniper headshot thanks to helmet,1040,unrelated
"A Vice Guide To Spending $300,000 On Dinner",1040,unrelated
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,1040,unrelated
"A message from Jim's mom, Diane Foley:",1040,unrelated
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,1040,unrelated
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,1040,unrelated
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,1040,unrelated
Militant Group Says It Killed American Journalist in Syria,1040,unrelated
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",1040,unrelated
A viral photo in China shows how to manipulate App Store rankings the hard way,1040,unrelated
"ISIS beheads American photo-journalist James Wright Foley, threatens more to come",1040,unrelated
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,1040,unrelated
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1040,unrelated
Iraqi media: ISIS militants have contracted Ebola,1040,discuss
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1040,unrelated
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1040,discuss
Another American hostage at risk by Islamic state,1040,unrelated
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,1040,unrelated
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1040,unrelated
North Korea denies reports Kim Jong-un is to open state-backed restaurant in Scotland,1040,unrelated
ISIS Beheads American Journalist James Foley in Video Message to U.S.,1040,unrelated
"Paradise is open to all, even dogs, Pope tells boy",1040,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1040,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,1040,unrelated
Obama denounces killing of journalist James Foley and pledges ‘justice’,1040,unrelated
ISIS Appears To Behead American Photojournalist In YouTube Video,1040,unrelated
Has Ebola infected Isis militants in Mosul?,1040,discuss
Staff Reporter,1040,unrelated
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",1040,unrelated
Kim Jong-Un 'bans the name Kim Jong-un',1040,unrelated
Soldier shot near Canadian parliament building,1040,unrelated
ISIS Beheads American Journalist,1040,unrelated
‘Banksy’ Instagram tribute to Charlie Hebdo victims not posted by artist,1040,unrelated
Isis militants claim to have killed US journalist James Foley,1040,unrelated
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,1040,unrelated
Journalist James Wright Foley reportedly beheaded by ISIS,1040,unrelated
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,1040,unrelated
Islamic State claims to have beheaded American journalist,1040,unrelated
US officials: Video shows American's execution,1040,unrelated
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,1040,unrelated
Shocking Photos! Mom Tries To Sell Son To Pay For Daughter's Cancer Treatment,1040,unrelated
BREAKING: ISIS Beheads American Journalist James Wright Foley,1040,unrelated
Emotional sergeant-at-arms is greeted back to parliament with a rousing standing ovation a day after he heroically shot dead terrorist - the first time he used weapon in 30 year career,1040,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,1040,unrelated
"Sick Kansas City man said not to have Ebola, U.S. plans new steps to fight virus",1040,unrelated
Video Purports to Show Beheading of American Journalist,1040,unrelated
Judd Nelson rebuffs Internet rumors that he died of a drug overdose.,1040,unrelated
Priest who died for 48 minutes says he met God and she’s a woman,1040,unrelated
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",1040,unrelated
"No, there aren’t any Ebola cases in Iraq",1040,discuss
ISIS Militants Allegedly Contracted Ebola,1040,discuss
Islamic State claims it executed American photojournalist James Foley,1040,unrelated
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,1040,discuss
Crank-Boosting Behind Top Apps in App Store,1040,unrelated
Apple may launch 12-inch MacBook Air with Retina Display,1040,unrelated
Isis claims to behead US journalist,1040,unrelated
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",1040,unrelated
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',1040,unrelated
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1040,unrelated
"Tim Cook Reportedly Showers with Apple Watch, Suggesting It’s Waterproof",1040,unrelated
Isis claims it has US airdrop of weapons,1040,unrelated
Watch NAKED airport worker walk through scanner in bizarre protest against 'rough' guards,1040,unrelated
App brush list actually do so sister you tired it?,1040,unrelated
Watch: ISIS Claims to Have Captured U.S. Airdropped Weapons,1040,unrelated
Islamic State claims it executed American photojournalist James Foley,984,unrelated
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,984,unrelated
